publish_date,author_num,degree_avg,degree_med,title_word_num,body_word_num,word_num,image_num
1579582800.0,2,2.0,2,8,1794,1802,1
1579669200.0,1,1.0,1,9,868,877,1
1579755600.0,1,8.0,8,8,2485,2493,1
1579842000.0,0,0.0,0,7,1299,1306,1
1579842000.0,9,8.333333333333334,8,8,195,203,1
1580101200.0,0,0.0,0,8,497,505,1
1580187600.0,1,0.0,0,6,1595,1601,1
1580274000.0,0,0.0,0,7,1406,1413,1
1580360400.0,0,0.0,0,11,376,387,1
1580360400.0,1,0.0,0,3,941,944,1
1580446800.0,0,0.0,0,11,683,694,1
1580792400.0,0,0.0,0,4,467,471,1
1580792400.0,0,0.0,0,8,1120,1128,1
1580878800.0,0,0.0,0,7,747,754,1
1580965200.0,1,0.0,0,8,462,470,1
1581138000.0,1,0.0,0,10,204,214,1
1581138000.0,0,0.0,0,9,642,651,1
1581310800.0,0,0.0,0,10,869,879,1
1581310800.0,1,0.0,0,5,1473,1478,1
1581310800.0,1,0.0,0,7,523,530,1
1581483600.0,0,0.0,0,11,1229,1240,1
1581915600.0,0,0.0,0,5,524,529,1
1582088400.0,0,0.0,0,8,920,928,1
1582520400.0,0,0.0,0,6,1179,1185,1
1582606800.0,0,0.0,0,11,253,264,1
1582693200.0,1,0.0,0,8,660,668,1
1582779600.0,0,0.0,0,10,73,83,1
1582779600.0,0,0.0,0,7,720,727,1
1582866000.0,1,0.0,0,8,511,519,1
1582866000.0,1,0.0,0,9,986,995,1
1582866000.0,3,4.0,5,9,1017,1026,1
1582866000.0,0,0.0,0,6,692,698,1
1583125200.0,1,0.0,0,8,737,745,1
1583125200.0,1,0.0,0,9,374,383,1
1583125200.0,1,0.0,0,7,96,103,1
1583125200.0,0,0.0,0,5,236,241,1
1583211600.0,1,0.0,0,9,1156,1165,1
1583298000.0,2,1.0,1,11,305,316,1
1583298000.0,0,0.0,0,6,1019,1025,1
1583384400.0,0,0.0,0,10,1335,1345,1
1583384400.0,0,0.0,0,12,885,897,1
1583470800.0,1,0.0,0,7,164,171,1
1583557200.0,1,8.0,8,12,391,403,1
1583726400.0,1,1.0,1,9,263,272,1
1583726400.0,0,0.0,0,6,892,898,1
1583726400.0,1,0.0,0,14,347,361,1
1583726400.0,1,0.0,0,15,407,422,1
1583726400.0,1,0.0,0,6,96,102,1
1583812800.0,4,3.25,3,6,483,489,1
1583812800.0,0,0.0,0,12,440,452,1
1583812800.0,0,0.0,0,10,273,283,1
1583812800.0,1,0.0,0,12,637,649,1
1583899200.0,0,0.0,0,3,602,605,1
1583899200.0,1,0.0,0,12,274,286,1
1583899200.0,1,0.0,0,14,2902,2916,1
1583985600.0,2,1.0,1,10,4630,4640,1
1583985600.0,0,0.0,0,8,415,423,1
1583985600.0,0,0.0,0,7,915,922,1
1583985600.0,0,0.0,0,9,842,851,1
1583985600.0,1,0.0,0,7,270,277,1
1583985600.0,2,1.5,1,9,395,404,1
1583985600.0,1,2.0,2,6,152,158,1
1583985600.0,1,0.0,0,12,684,696,1
1583985600.0,1,0.0,0,7,400,407,1
1583985600.0,2,1.0,1,8,79,87,1
1583985600.0,1,0.0,0,18,680,698,1
1583985600.0,0,0.0,0,9,146,155,1
1583985600.0,0,0.0,0,4,1134,1138,1
1584072000.0,2,3.5,3,11,597,608,1
